LEA Code,LEA Name,School Code,School Name,Total Unaudited Enrollment (Including Non-Public Enrollment),Total Audited Enrollments (Including Non-Public Enrollment),Students included in UPSFF,Tuition paying non-resident students,Unverified resident students,Audited Non-Public Enrollment,Unverified resident students - Non-Public
001,District of Columbia Public Schools,1049,Accotink Academy Therapeutic Day School,15,15,0,0,0,14,1
001,District of Columbia Public Schools,1162,Alternative Paths Training School Alexandria VA,1,1,0,0,0,1,0
001,District of Columbia Public Schools,203,Amidon-Bowen Elementary School,336,336,336,0,0,0,0
001,District of Columbia Public Schools,450,Anacostia High School,290,287,285,0,2,0,0
001,District of Columbia Public Schools,3060,Aurora Leesburg VA,1,1,0,0,0,1,0
001,District of Columbia Public Schools,452,Ballou High School,658,657,651,0,6,0,0
001,District of Columbia Public Schools,462,Ballou STAY High School,444,442,441,0,1,0,0
001,District of Columbia Public Schools,204,Bancroft Elementary School,716,715,715,0,0,0,0
001,District of Columbia Public Schools,1058,Bard High School Early College DC (Bard DC),426,424,396,0,28,0,0
001,District of Columbia Public Schools,205,Barnard Elementary School,581,580,580,0,0,0,0
001,District of Columbia Public Schools,206,Beers Elementary School,372,372,372,0,0,0,0
001,District of Columbia Public Schools,402,Benjamin Banneker High School,579,579,577,2,0,0,0
001,District of Columbia Public Schools,212,Brent Elementary School,419,419,418,0,1,0,0
001,District of Columbia Public Schools,213,Brightwood Elementary School,591,591,591,0,0,0,0
001,District of Columbia Public Schools,347,Brookland Middle School,357,357,357,0,0,0,0
001,District of Columbia Public Schools,404,Browne Education Campus,438,438,438,0,0,0,0
001,District of Columbia Public Schools,296,Bruce-Monroe Elementary School @ Park View,433,433,433,0,0,0,0
001,District of Columbia Public Schools,219,Bunker Hill Elementary School,207,206,205,0,1,0,0
001,District of Columbia Public Schools,220,Burroughs Elementary School,258,258,258,0,0,0,0
001,District of Columbia Public Schools,221,Burrville Elementary School,278,278,278,0,0,0,0
001,District of Columbia Public Schools,247,C.W. Harris Elementary School,249,249,247,0,2,0,0
001,District of Columbia Public Schools,1041,CARD Academy- Alexandria,3,3,0,0,0,3,0
001,District of Columbia Public Schools,1042,CSAAC Community School of Maryland Brookeville Brookeville MD,2,2,0,0,0,2,0
001,District of Columbia Public Schools,360,Capitol Hill Montessori School @ Logan,425,424,424,0,0,0,0
001,District of Columbia Public Schools,454,Cardozo Education Campus,641,639,639,0,0,0,0
001,District of Columbia Public Schools,1050,Chelsea School,7,7,0,0,0,7,0
001,District of Columbia Public Schools,1169,Childrens Guild Baltimore MD,4,4,0,0,0,4,0
001,District of Columbia Public Schools,1020,Childrens Guild Prince Georges Chillum MD,19,19,0,0,0,18,1
001,District of Columbia Public Schools,224,Cleveland Elementary School,282,282,282,0,0,0,0
001,District of Columbia Public Schools,442,Columbia Heights Education Campus,1567,1567,1538,3,26,0,0
001,District of Columbia Public Schools,3132,Community School of Maryland,4,4,0,0,0,4,0
001,District of Columbia Public Schools,455,Coolidge High School,1017,1015,1005,0,10,0,0
001,District of Columbia Public Schools,405,Deal Middle School,1392,1391,1391,0,0,0,0
001,District of Columbia Public Schools,3142,Devereux Glenholme School,2,2,0,0,0,2,0
001,District of Columbia Public Schools,3122,Devereux Massachusetts,1,1,0,0,0,1,0
001,District of Columbia Public Schools,349,Dorothy I. Height Elementary School,427,426,426,0,0,0,0
001,District of Columbia Public Schools,231,Drew Elementary School,189,189,189,0,0,0,0
001,District of Columbia Public Schools,471,Duke Ellington School of the Arts,564,564,511,53,0,0,0
001,District of Columbia Public Schools,467,Dunbar High School,873,868,868,0,0,0,0
001,District of Columbia Public Schools,457,Eastern High School,873,865,728,3,134,0,0
001,District of Columbia Public Schools,232,Eaton Elementary School,422,422,422,0,0,0,0
