SCHOOL CODE,SCHOOL NAME,By Grade,,,,,,,,,,,,,,,,,
Building Code,Name,Total Enrolled,PK3,PK4,KG,1,2,3,4,5,6,7,8,9,10,11,12,AO*,UN/CE**
462,Ballou STAY High School,442,,,,,,,,,,,,92,76,65,54,155,0
456,Roosevelt STAY High School,740,,,,,,,,,,,,178,105,90,78,289,0
884,Luke C. Moore High School,211,,,,,,,,,,,,62,74,45,30,,0
304,River Terrace Education Campus,116,,,,,,0,5,0,3,5,7,0,0,0,0,0,96
202,Lorraine H. Whitlock Elementary School,137,5,13,23,18,20,16,21,21,,,,,,,,,
203,Amidon-Bowen Elementary School,336,27,40,55,46,49,32,47,40,,,,,,,,,
450,Anacostia High School,287,,,,,,,,,,,,98,86,50,24,,29
452,Ballou High School,657,,,,,,,,,,,,308,150,101,72,,26
204,Bancroft Elementary School @ Sharpe,715,50,62,117,101,104,110,93,78,,,,,,,,,
1058,Bard High School Early College DC,424,,,,,,,,,,,,117,96,88,123,,
205,Barnard Elementary School,580,61,67,72,84,67,69,85,75,,,,,,,,,
206,Beers Elementary School,372,38,45,51,45,47,53,47,46,,,,,,,,,
402,Benjamin Banneker High School,579,,,,,,,,,,,,168,135,137,139,,
212,Brent Elementary School,419,28,36,72,61,63,67,59,33,,,,,,,,,
213,Brightwood Elementary School,591,47,62,93,87,81,82,58,81,,,,,,,,,
347,Brookland Middle School,357,,,,,,,,,97,138,122,,,,,,
404,Browne Education Campus,438,29,30,48,51,35,38,40,42,50,32,43,,,,,,
296,Bruce-Monroe Elementary School @ Park View,433,47,48,63,51,59,60,52,53,,,,,,,,,
219,Bunker Hill Elementary School,206,24,30,19,36,24,25,26,22,,,,,,,,,
220,Burroughs Elementary School,258,31,50,29,42,34,21,29,22,,,,,,,,,
221,Burrville Elementary School,278,35,37,36,37,40,27,33,33,,,,,,,,,
247,C.W. Harris Elementary School,249,15,31,34,39,31,38,34,27,,,,,,,,,
360,Capitol Hill Montessori School @ Logan,424,53,56,45,40,39,40,33,30,33,34,21,,,,,,
454,Cardozo Education Campus,639,,,,,,,,,43,49,59,178,136,99,59,,16
224,Cleveland Elementary School,282,32,38,36,31,42,31,41,31,,,,,,,,,
442,Columbia Heights Education Campus,1567,,,,,,,,,187,187,154,340,270,227,198,,4
455,Coolidge High School,1015,,,,,,,,,,,,416,250,165,167,,17
405,Deal Middle School,1391,,,,,,,,,454,456,481,,,,,,
