X,Y,OBJECTID,NAME,ADDRESS,DIRECTOR,PHONE,AUTHORIZER,GRADES,ENROLLMENT,GIS_ID,WEB_URL,AUTHORIZAT,MYSCHOOL,SCHOOL_YEA,LEA_NAME,LEA_ID,SCHOOL_NAM,SCHOOL_ID,SCHOOLCODE,GRADES_1,LATITUDE,LONGITUDE,FACILITY_ID,CLUSTER_,WARD,ZIPCODE,MAR_ID,XCOORD,YCOORD,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-76.9991962883333,38.8642234799153,1601,Cedar Tree Academy PCS,701 HOWARD ROAD SE,Dr. Latonya Henderson,202-610-4193,,PK3-2nd,0,chrt_111,https://cedartree-dc.org/,0,Y,2023-2024,Cedar Tree Academy PCS,123,Cedar Tree Academy PCS,188,188,PK3-2nd,38.86421603,-76.99919401,PCSB_57BLD,Cluster 37,Ward 8,20020,300872,400069.95,132932.97,,{AE38961C-2CCF-486C-9C13-85A7A1714E7B},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0110025175251,38.9420432838121,1602,Creative Minds International PCS,3700 NORTH CAPITOL STREET NW,"Golnar Abedin, Ph.D.",202-588-0370,,PK3-8th,0,chrt_8,https://www.creativemindspcs.org/,0,Y,2023-2024,Creative Minds International PCS,169,Creative Minds International PCS,3069,3069,PK3-8th,38.93654816,-77.00695403,PCSB_114BLD,Cluster 21,Ward 5,20011,291848,399397.09,140962.44,,{847897C4-27B0-43B7-A64F-700176105BDE},DCGIS,2023/08/26 03:22:10+00,JLAY,2023/06/29 14:34:18+00
-77.0066401453936,38.9549301091153,1603,DC Bilingual PCS,33 RIGGS ROAD NE,Tehani Collazo,202-750-6674,,PK3-5th,0,chrt_9,https://dcbilingual.org/,0,Y,2023-2024,DC Bilingual PCS,114,DC Bilingual PCS,199,199,PK3-5th,38.95492264,-77.00663786,DGS_0776.0,Cluster 19,Ward 5,20011,155991,399424.65,143002.17,,{34687849-1D12-40A8-96A1-FAA4CF9B0249},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9847347571742,38.8646537179617,1604,DC Prep PCS - Anacostia Elementary,1409 V STREET SE,Rick Cruz,202-729-3500,,PK3-2nd,0,chrt_125,https://www.dcprep.org/Anacostia_Elementary_Campus,0,Y,2023-2024,DC Prep PCS - Anacostia Elementary School,115,DC Prep PCS - Anacostia Elementary School,276,276,PK3-2nd,38.86464627,-76.98473248,PCSB_131BLD,Cluster 28,Ward 8,20020,301493,401325.02,132980.84,,{53BEE793-4CBD-486E-BF1E-4232BA0E9FF3},JLAY,2023/11/21 16:46:25+00,JLAY,2023/06/29 14:34:18+00
-76.9448237483655,38.8910292565287,1605,DC Prep PCS - Benning Elementary,100 41ST STREET NE,Rick Cruz,202-398-2838,,PK3-3rd,0,chrt_11,https://www.dcprep.org/Benning_Elementary_Campus,0,Y,2023-2024,DC Prep PCS - Benning Elementary School ,115,DC Prep PCS - Benning Elementary School ,1110,1110,PK3-3rd,38.8910218,-76.94482148,DGS_0185.0,Cluster 32,Ward 7,20019,294468,404787,135910.06,,{13F8E13B-F33D-4859-9B81-E7726C84FAF1},JLAY,2023/11/21 16:46:25+00,JLAY,2023/06/29 14:34:18+00
-76.9997524336695,38.8428492653099,1606,Academy of Hope Adult PCS [Southeast],421 ALABAMA AVENUE SE,Lecester Johnson,202-373-0246,,Adult,0,chrt_29,https://aohdc.org/,0,N,2023-2024,Academy of Hope Adult PCS [Southeast],178,Academy of Hope Adult PCS [Southeast],233,233,Adult,38.84284182,-76.99975015,PCSB_102BLD,Cluster 39,Ward 8,20032,25545,400021.69,130560.28,,{CE941A1E-F2A8-4B94-9222-6EFBB7003279},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9922710951219,38.8343356602558,1607,Achievement Prep PCS - Wahler Place Elementary,908 WAHLER PLACE SE,Shantelle Wright,202-562-1307,,PK3-4th,0,chrt_98,https://achievementprep.org/our-story/wahler-place-elementary-school/,0,Y,2023-2024,Achievement Preparatory Academy PCS - Wahler Place Elementary School,129,Achievement Preparatory Academy PCS - Wahler Place Elementary School,217,217,PK3-4th,38.83432822,-76.99226882,DGS_0761.0,Cluster 39,Ward 8,20032,294502,400671.25,129615.24,,{DCC708B8-8B3D-4C82-B3F0-52122C79A9C6},JLAY,2023/11/21 16:46:25+00,JLAY,2023/06/29 14:34:18+00
-77.0232235855586,38.8952218443935,1608,BASIS DC PCS,410 8TH STREET NW,Carolyn McGarvy,202-393-5437,,5th-12th,0,chrt_106,https://enrollbasis.com/washington-dc/,0,Y,2023-2024,Basis DC PCS,168,Basis DC PCS,3068,3068,5th-12th,38.89521439,-77.0232213,PCSB_10BLD,Cluster 8,Ward 2,20004,279758,397985.56,136374.28,,{56985F6F-2C40-469B-96DE-06335ACA94F2},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0144062608185,38.9734210795416,1609,Breakthrough Montessori PCS,6923 WILLOW STREET NW,Edwin Strickland,202-407-7022,,PK3-5th,0,chrt_124,https://www.breakthroughmontessori.org/,0,Y,2023-2024,Breakthrough Montessori PCS [Eastern Ave],189,Breakthrough Montessori PCS [Eastern Ave],289,289,PK3-5th,38.973413,-77.014404,PCSB_136BLD,Cluster 17,Ward 4,20012,320150,398751.83,145054.92,,{2FA514FF-945A-491E-AECC-F7C89E325EB1},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0074813282888,38.9528699571774,1610,Bridges PCS,100 GALLATIN STREET NE,Olivia Smith,202-545-0515,,PK3-5th,0,chrt_107,https://bridgespcs.org/,0,Y,2023-2024,Bridges PCS,107,Bridges PCS,142,142,PK3-5th,38.95286249,-77.00747904,DGS_0191.0,Cluster 19,Ward 5,20011,294470,399351.72,142773.48,,{FE6FCC8F-AA78-4CEC-8195-35FED19B4973},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0405557423011,38.9343258161934,1611,Briya PCS [Bancroft/Mount Pleasant],1755 NEWTON STREET NW,,202-797-7337,,"PK3-PK4; Adult",0,chrt_41,https://www.briya.org/,0,N,2023-2024,Briya PCS [Bancroft/Mount Pleasant],119,Briya PCS [Bancroft/Mount Pleasant],126,126,"PK3-PK4; Adult",38.93431836,-77.04055344,DGS_0343.0,Cluster 2,Ward 1,20010,294528,396483.93,140715.67,,{6F1B88D6-CE7F-4006-BDFF-CB0538DA72FC},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
