ID,tract,name,city,state,population,area (km2),pop density,,
15,8702,Fort Myer Construction Corp - Plant 1,Washington,DC,3574,0.4864073966,7347.750106,,40.64512114
7,150200,"P. Flanigan & Sons (Winchester/Baltimore)",Baltimore,MD,1838,0.4203272113,4372.783752,,
119,4600,Branscome Inc. (Norfolk),Norfolk,VA,5534,1.907740501,2900.813815,,
14,9102,Fort Myer Construction Corp - Plant 2,Washington,DC,4608,1.816289093,2537.041056,,
79,6400,Virginia Paving (Norfolk),Norfolk,VA,5673,3.877105163,1463.205088,,
89,300300,National Asphalt Mfg. Corp.,Fairfax,VA,5889,4.675242453,1259.613819,,
114,41002,Virginia Paving (Virginia Beach),Virginia Beach,VA,2356,1.887703032,1248.077669,,
8,807407,Laurel Sand and Gravel (Laurel),Laurel,MD,6708,5.966404572,1124.295196,,
88,200403,Virginia Paving (Alexandria),Alexandria,VA,1410,1.275586171,1105.374166,,
74,302,Superior Paving (Fredericksburg),Fredericksburg,VA,22626,20.8132937,1087.093678,,
103,600,"B & S Contracting (Staunton)",Staunton,VA,25687,24.6451883,1042.272418,,
99,600,Moffett Paving & Excavation,Staunton,VA,25687,24.6451883,1042.272418,,
84,901418,Branscome Inc. (Manassas),Manassas,VA,4138,3.981200416,1039.385001,,
10,804300,Aggregate Industries - Bladensburg Plant,Hyattsville,MD,3677,3.5459648,1036.953328,,
1,740303,Aggregate Industries - Severn Plant,Severn,MD,4727,4.598678597,1027.903973,,
108,3300,City of Norfolk,Norfolk,VA,7586,7.896243381,960.7100027,,
2,601206,Laurel Sand and Gravel (Elkridge),Elkridge,MD,4353,4.540156286,958.7775676,,
123,611804,Virginia Paving (Chantilly),Chantilly,VA,8852,9.5069157,931.1116538,,
5,250301,"P. Flanigan & Sons (Westport/Baltimore)",Baltimore,MD,2048,2.203174259,929.5678684,,
87,611004,Superior Paving (Ashburn),Ashburn,VA,8935,10.02155664,891.5780573,,
122,492203,Virginia Paving (Lorton),Lorton,VA,4014,4.91215598,817.1564617,,
9,450100,"Maryland Paving (Rosedale)",Rosedale,MD,9512,11.8133993,805.1873774,,
19,801210,Aggregate Industries - Kirby Road Plant,Clinton,MD,4253,5.365002296,792.7303224,,
12,802204,Francis O. Day Company (Forestville),Forestville,MD,6185,8.006463316,772.5008854,,
83,610506,"Loudoun Co. Asphalt",Leesburg,VA,5646,7.638349893,739.1648824,,
32,610506,Loudoun County Asphalt Company LLC,Leesburg,VA,5646,7.638349893,739.1648824,,
76,10206,Virginia Paving (Stafford),Stafford,VA,5495,7.689519657,714.6090061,,
42,900,Craig Blacktop & Paving,Hagerstown,MD,15432,22.5607761,684.0190219,,
109,21305,Branscome (Chesapeake),Chesapeake,VA,3692,5.97806746,617.5908895,,
16,700903,M. Luis (Rockville),Rockville,MD,2377,3.856536731,616.3561158,,
4,606901,Allan A. Myers (Jessup),Jessup,MD,7291,14.47600908,503.6609163,,
120,20910,Allan Myers (Chesapeake),Chesapeake,VA,1548,3.124582493,495.4261901,,
