Washington Latin PCS - 2nd Campus,602,5th-6th,charter
DC Prep PCS - Edgewood Elementary,430,PK3-3rd,charter
DC Prep PCS - Edgewood Middle,318,4th-8th,charter
Hope Community PCS - Tolson,203,PK3-8th,charter
Two Rivers PCS at 4th Street,399,PK3-5th,charter
Inspired Teaching Demonstration PCS,518,PK3-8th,charter
Lee Montessori PCS - Brookland,286,PK3-6th,charter
Harmony DC PCS - School of Excellence,159,PK3-5th,charter
Washington Leadership Academy PCS,377,9th-11th,charter
Langley Elementary School,338,PK3-5th,public
McKinley Middle School,222,6th-8th,public
McKinley Technology High School,696,9th-12th,public
Noyes Elementary School,241,PK3-5th,public
